"","NMDS1","NMDS2","X.alltaxa12.vectors..r","X.alltaxa12.vectors..pvals"
"Megaspilidae",-0.212806840478324,-0.977094288513464,0.121501073998388,0.016
"Scelionidae",-0.999993498625496,0.00360592661338115,0.195667786975373,0.002
"Platygastrid",-0.216682235209445,-0.976242187648454,0.131947120847644,0.024
"Braconidae",-0.999929285719777,0.0118921638037914,0.194330860731694,0.003
"Ichneumonida",-0.43445871307904,0.900691748951718,0.277576589588274,0.002
"Pompilidae",-0.605978080260134,-0.795481342486575,0.128774811815689,0.029
"Formicidae",-0.756648221959736,-0.653822199229401,0.0550063879689744,0.245
"Diapriidae",-0.695019107890257,0.718991265362404,0.0318229721111218,0.46
"Sphecidae",-0.33545330450116,0.942056835068486,0.0496218737730004,0.267
"Eurytomidae",-0.997670541489896,-0.0682164983215838,0.0942679019084993,0.096
"Mymaridae",-0.191321702859948,-0.981527384240893,0.0587652381976059,0.231
"Encyrtidae",-0.765391392684626,-0.643565082959205,0.0543549728718763,0.252
"Halictidae",0.267032494542619,0.963687525528034,0.0239371787829828,0.631
"Aphididae",-0.994904830434309,-0.100818541838687,0.0501332468544739,0.289
"Cicadellidae",-0.632454740169336,-0.774597315795335,0.161162221390618,0.012
"Anthocoridae",-0.816534013386649,-0.577297328057815,0.00706417970813166,0.837
"Miridae",-0.732073152085511,-0.681226027097896,0.0847065316652835,0.097
"Coccoidea",-0.851810742006509,0.523849653815215,0.0258604866960645,0.576
"Hemerobiidae",-0.837663630964704,0.546186452925216,0.236824430973253,0.001
"Sisyridae",0.681669016404479,-0.731660680967722,0.176542176798939,0.001
"Libellulidae",-0.442324296607778,-0.896855181526223,0.114373309970495,0.039
"Lestidae",-0.312692028904838,-0.949854565214789,0.135903290673711,0.024
"Coenagrionid",-0.38080634605009,-0.924654814948789,0.22578892730451,0.002
"Thysanoptera",-0.575376128815916,-0.817888935240483,0.140013022246882,0.013
"Hydroptilida",0.941537770019146,-0.336907446678423,0.0749417620405468,0.106
"Leptoceridae",0.99955852229776,0.0297112857668475,0.167305234886608,0.007
"Molannidae",0.997872619543569,-0.0651938276622481,0.0963812208821094,0.017
"Polycentropo",0.967195257599931,-0.254034119118285,0.164479850635073,0.005
"Phryganeidae",0.707554943030586,-0.706658335118877,0.141835980074346,0.009
"Limnephilida",-0.458004861230586,-0.88894968760282,0.155146804101363,0.012
"Psocoptera",-0.267481805845507,-0.963562911045058,0.216908028839671,0.003
"Cosmopterigi",-0.611894191834523,-0.790939629806963,0.0359634735922926,0.481
"Gelechiidae",-0.755592246440223,-0.655042255980038,0.0603675203300361,0.222
"Gracillariid",-0.912341791399425,0.409429426966465,0.0165005288218793,0.75
"Noctuidae",-0.453280972274155,-0.891367690784335,0.183267163850929,0.005
"Crambidae",0.455907084309843,-0.89002737625092,0.0419634025784593,0.364
