"","NMDS1","NMDS2","X.alltaxa12.2018.vectors..r","X.alltaxa12.2018.vectors..pvals"
"PHRAUSTR",-0.962895671322062,-0.269873907870389,0.238174468363014,0.042
"POLAMPHI",-0.855908504242984,0.517127288358039,0.102414512999161,0.304
"POLAMPLI",-0.680173874686669,0.733050816924532,0.102083996673359,0.338
"Polygonum.Spp",-0.711254017494987,0.702935077085531,0.0483828064326709,0.669
"PONCORDA",0.51351267423741,-0.858082008550199,0.245240632384871,0.049
"POTGRAMI",0.435147294809355,-0.900359279299159,0.103065965235017,0.302
"POTILLIN",0.51351267423741,-0.858082008550199,0.245240632384871,0.049
"Potemogeton.sp",0.427362286988904,0.904080458620589,0.146832232157392,0.039
"PROPALUS",0.900803189492433,0.434227605985917,0.136202072247162,0.121
"SAGLATIF",0.380756312964997,0.92467541880235,0.0627798933802186,0.586
"Sagitarius.sp",0.776938677825461,0.629576278856522,0.166670201262416,0.118
"SCHTABER",0.51351267423741,-0.858082008550199,0.245240632384871,0.049
"SCIACUTU",0.51351267423741,-0.858082008550199,0.245240632384871,0.049
"SCIMICRO",0.849915033288256,0.526919762573604,0.116414063791544,0.238
"SCHPUNGENS",0.478063902064677,-0.878325056879681,0.365900155706172,0.004
"Solidago.Spp.",-0.560023274319204,0.828476874885954,0.0767259336283932,0.469
"SPAEURYC",0.81739359443272,0.576079605419561,0.287827207983646,0.014
"TYPHA.SPP",-0.118695279289995,0.992930728034071,0.0399359233032264,0.678
"Unk.Forb",0,0,0,1
"UTRINTER",0.73914872528578,0.673542249534806,0.18871544272269,0.093
"UTRVULGA",0.996601041426956,0.0823793920025265,0.266322216047878,0.013
"Vetch.sp",-0.477411696891227,-0.878679732138758,0.0441649706754526,0.714
"ZIZPALUS",0.399505873851967,-0.916730634787437,0.108992714756222,0.262
"Araneae",-0.447845512186992,-0.894110953525328,0.106036391837457,0.277
"Curculionidae",-0.398252322806249,0.91727590580993,0.0917891735641155,0.341
"Staphylinidae",-0.384063067328436,0.923306861403225,0.257480234809849,0.027
"Carabidae",-0.967122727950229,-0.25431010416833,0.106630108487302,0.262
"Anthicidae",-0.980090715478451,0.198550218919388,0.307649505554744,0.011
"Erotylidae",-0.758746516855966,-0.651386001660259,0.399046089007907,0.001
"Cryptophagidae",-0.943905189988513,0.330216583945673,0.218432773574879,0.054
"Latridiidae",-0.226815834648001,-0.973937665948356,0.309861730665674,0.009
"Phalacridae",-0.709568463494447,0.704636498922763,0.299415761240336,0.016
"Coccinellidae",-0.915276708731007,-0.402825702326123,0.132721536518377,0.179
"Lampyridae",-0.590802236207587,-0.806816408913524,0.0786414890417494,0.442
"Nitidulidae",-0.929586972344843,0.368602849753972,0.0926834041570991,0.315
"AnthiciLarv",-0.289874908179204,-0.957064542028435,0.0904378163858902,0.321
"CocciLarvae",0.07148971827742,-0.997441336711395,0.166207935136978,0.11
"ErotLarvae",-0.929165360570888,-0.369664351425954,0.160814264511244,0.114
"Collembola",-0.822334948077455,0.569003719821277,0.0543535982806212,0.556
"Cecidomyiidae",-0.993149645534901,0.116849396977049,0.303321027071154,0.02
"Sciaridae",0.335484155655476,0.942045848833342,0.0694023038451065,0.443
"Phoridae",-0.987442956548801,-0.15797597147086,0.114343620374425,0.257
"Ceratopogonidae",0.479244305936335,0.877681545452336,0.157997503783871,0.062
"Chironomidae",0.894962101710289,0.446142170728461,0.544811523740409,0.001
"Culicidae",-0.888093891292579,-0.459662093552215,0.292050906367316,0.014
"Chaoboridae",-0.930029211891987,-0.367485598394779,0.0647561828989079,0.502
"Dolichopodidae",-0.82003171330371,0.572318083915039,0.0613317992824216,0.554
"Empididae",0.51351267423741,-0.858082008550199,0.245240632384871,0.049
"Ephydridae",-0.626951501773973,-0.779058286922975,0.205611026921339,0.063
"Carnidae",-0.510395928118693,-0.859939530757749,0.143729475178721,0.157
"Sciomyzidae",0.260571383453596,0.965454584185646,0.230516186415868,0.049
"Chloropidae",-0.867316891788093,0.497756375367549,0.349939445322648,0.005
"Agromyzidae",-0.38196384460726,0.924177267310142,0.00988203171703136,0.943
"Drosophilidae",0.863470549969317,0.504399255883357,0.00188855176426578,0.986
"Muscidae",-0.0072452996071217,-0.999973752472335,0.0383606578157217,0.66
"Anthomyiidae",-0.467143345195963,0.884181596188886,0.0184185175779594,0.82
"Calliphoridae",-0.996598994076903,0.0824041564783295,0.134724958223065,0.179
"Stratiomyidae",-0.886656700515774,0.462428259766291,0.0801456165365845,0.372
"Tabanidae",0.523218213620594,-0.852198744974243,0.266593734856142,0.016
"Tipulidae",-0.849786744021821,0.527126635339926,0.135198827962332,0.164
"Dixidae",-0.849833642398655,0.527051022432776,0.347139574246461,0.006
"Syrphidae",-0.938090455394423,-0.346390383090935,0.189495925479713,0.078
"Caenidae",0.700014463921497,-0.714128665088231,0.422646890426816,0.001
"Ephemerellidae",0.51351267423741,-0.858082008550199,0.245240632384871,0.049
"Pteromalidae",-0.961705709970437,0.274084161180937,0.173900032147064,0.107
"Eulophidae",-0.861562571807729,0.507651391074675,0.14267639488131,0.151
"Aphelinidae",-0.478554511502022,0.87805784520216,0.0562961389411763,0.563
"Ceraphronidae",-0.65997830708785,0.751284655888469,0.257735468468327,0.018
"Megaspilidae",-0.484697706275445,0.874681732707002,0.184146915755598,0.065
"Scelionidae",-0.697335878067366,-0.716744496428131,0.120195910488688,0.246
"Platygastridae",-0.747869270684591,0.663846031821911,0.106819436786373,0.258
"Braconidae",-0.761620331249312,0.648023511168915,0.119743315398928,0.225
"Ichneumonidae",0.119467137505496,-0.992838155519943,0.299354109285067,0.015
"Pompilidae",-0.995010810723906,0.0997671616442778,0.0622887330932522,0.477
"Formicidae",-0.850758609412628,0.525556646338233,0.0672201628170997,0.508
"Eurytomidae",-0.627757523967345,0.778408948498402,0.127146562795563,0.193
"Mymaridae",0.174249730450129,0.984701493569527,0.104901463945983,0.281
"Encyrtidae",-0.999006797703082,0.0445580311844459,0.0383465713218039,0.642
"Halictidae",0.376046422488166,-0.92660082459161,0.234483902998172,0.032
"Aphididae",-0.491537109780354,-0.870856629824207,0.0448687488734649,0.702
"Cicadellidae",-0.964947434241578,-0.26244323033867,0.159763856106182,0.141
"Anthocoridae",-0.955765540298123,-0.294129617649492,0.0273130095451999,0.719
"Miridae",-0.882702708207052,-0.469931834337638,0.0501050464005684,0.612
"Libellulidae",-0.83655342724419,0.547885356042667,0.0968277122603899,0.322
"Lestidae",-0.946414139916411,0.322955532180948,0.152897096566009,0.164
"Coenagrionidae",-0.887074245550516,-0.4616267787737,0.261520241018844,0.022
"Thysanoptera",-0.908664397527527,-0.417527259787832,0.144659303381552,0.156
"Hydroptilidae",0.823057513636719,0.567958034757976,0.0923595754155281,0.34
"Leptoceridae",0.973290616533368,0.229576513973218,0.241045962516563,0.04
"Polycentropodidae",0.952908028646309,-0.303259441636045,0.122168371876268,0.228
"Phryganeidae",0.999615437741264,-0.027730427860749,0.0540139860962206,0.588
"Limnephilidae",-0.835996621566026,-0.548734588603809,0.239150926700959,0.038
"Psocoptera",-0.714411951945521,0.699725348202701,0.313809271798801,0.008
"Cosmopterigidae",-0.996241491476899,-0.0866192280032755,0.0631336666986783,0.585
"Noctuidae",-0.844803730694923,0.535076309140986,0.258303580685715,0.034
"Crambidae",0.511416982082708,0.859332689031096,0.126798801643404,0.173
